Rank,Name,Yr,Pos,G,Att,Comp,Pct,Yards,Yards/Att,Td,Int,Rating,Att/G,Yards/G,TeamID,Year
1.0,Karson Roberts,SR,QB,14,148,77,52.0,1595,10.8,11,11,152.23,10.6,113.9,721,2015
2.0,Nate Romine,JR,QB,4,18,7,38.9,143,7.9,2,1,131.18,4.5,35.8,721,2015
3.0,Jalen Robinette,JR,WR,14,3,2,66.7,76,25.3,2,0,499.47,0.2,5.4,721,2015
4.0,Tyler Williams,SO,WR,12,1,1,100.0,33,33.0,0,0,377.2,0.1,2.8,721,2015
,Total,,,14,170,87,51.2,1847,10.9,15,12,157.45,12.1,131.9,721,2015
,Opponents,,,14,387,205,53.0,2942,7.6,23,11,130.76,27.6,210.1,721,2015
1.0,Thomas Woodson,SO,QB,13,307,162,52.8,2202,7.2,16,11,123.05,23.6,169.4,5,2015
2.0,Tra'Von Chapman,SO,QB,4,35,10,28.6,157,4.5,1,1,69.97,8.8,39.3,5,2015
3.0,Kyle Pohl,SR,QB,5,27,11,40.7,135,5.0,0,0,82.74,5.4,27.0,5,2015
4.0,Tyrell Goodman,JR,WR,10,1,1,100.0,14,14.0,1,0,547.6,0.1,1.4,5,2015
,Total,,,13,370,184,49.7,2508,6.8,18,12,116.23,28.5,192.9,5,2015
,Opponents,,,13,478,282,59.0,3097,6.5,23,14,123.44,36.8,238.2,5,2015
1.0,Jake Coker,SR,QB,15,393,263,66.9,3110,7.9,21,8,146.96,26.2,207.3,8,2015
2.0,Cooper Bateman,SO,QB,15,52,37,71.2,291,5.6,1,2,116.82,3.5,19.4,8,2015
3.0,Alec Morris,JR,QB,3,1,1,100.0,6,6.0,0,0,150.4,0.3,2.0,8,2015
,Total,,,15,446,301,67.5,3407,7.6,22,10,143.46,29.7,227.1,8,2015
,Opponents,,,15,495,250,50.5,3009,6.1,17,19,105.22,33.0,200.6,8,2015
1.0,Taylor Lamb,SO,QB,13,283,170,60.1,2387,8.4,31,9,160.71,21.8,183.6,27,2015
2.0,J.P. Caruso,FR,QB,5,12,8,66.7,109,9.1,2,0,197.97,2.4,21.8,27,2015
3.0,Bentlee Critcher,JR,P,13,2,2,100.0,50,25.0,0,0,310.0,0.2,3.8,27,2015
,Total,,,13,297,180,60.6,2546,8.6,33,9,163.22,22.8,195.8,27,2015
,Opponents,,,13,374,223,59.6,2378,6.4,10,18,112.23,28.8,182.9,27,2015
1.0,Anu Solomon,SO,QB,11,330,205,62.1,2667,8.1,20,5,146.98,30.0,242.5,29,2015
2.0,Jerrard Randall,SR,QB,11,95,47,49.5,518,5.5,5,3,106.33,8.6,47.1,29,2015
3.0,Brandon Dawkins,FR,QB,6,38,20,52.6,338,8.9,2,2,134.19,6.3,56.3,29,2015
4.0,Cayleb Jones,JR,WR,13,1,1,100.0,25,25.0,0,0,310.0,0.1,1.9,29,2015
5.0,Team,,,10,2,0,0.0,0,0.0,0,0,0.0,0.2,0.0,29,2015
,Total,,,13,466,273,58.6,3548,7.6,27,10,137.37,35.8,272.9,29,2015
,Opponents,,,13,443,276,62.3,3487,7.9,28,11,144.31,34.1,268.2,29,2015
1.0,Mike Bercovici,SR,QB,13,531,318,59.9,3854,7.3,30,9,136.12,40.8,296.5,28,2015
2.0,Matt Haack,JR,P,13,1,1,100.0,27,27.0,0,0,326.8,0.1,2.1,28,2015
3.0,Devin Lucien,SR,WR,13,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,28,2015
,Total,,,13,533,319,59.8,3881,7.3,30,9,136.21,41.0,298.5,28,2015
,Opponents,,,13,516,294,57.0,4392,8.5,35,15,145.05,39.7,337.8,28,2015
1.0,Brandon Allen,SR,QB,13,370,244,65.9,3440,9.3,30,8,166.48,28.5,264.6,31,2015
2.0,Austin Allen,SO,QB,3,3,1,33.3,35,11.7,1,0,241.33,1.0,11.7,31,2015
3.0,Damon Mitchell,SO,WR,13,1,1,100.0,11,11.0,0,0,192.4,0.1,0.8,31,2015
,Total,,,13,374,246,65.8,3486,9.3,31,8,167.15,28.8,268.2,31,2015
,Opponents,,,13,436,280,64.2,3577,8.2,18,11,141.7,33.5,275.2,31,2015
1.0,Fredi Knighten,SR,QB,10,251,136,54.2,1835,7.3,19,9,133.4,25.1,183.5,30,2015
2.0,James Tabary,FR,QB,8,105,65,61.9,788,7.5,4,6,126.09,13.1,98.5,30,2015
3.0,Cameron Birse,SO,QB,8,4,4,100.0,37,9.3,0,0,177.7,0.5,4.6,30,2015
4.0,Tres Houston,SR,WR,13,3,1,33.3,24,8.0,0,0,100.53,0.2,1.8,30,2015
5.0,J.D. McKissic,SR,WR,13,1,1,100.0,9,9.0,0,0,175.6,0.1,0.7,30,2015
6.0,Darion Griswold,SR,TE,13,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,30,2015
,Total,,,13,365,207,56.7,2693,7.4,23,15,131.26,28.1,207.2,30,2015
,Opponents,,,13,493,266,54.0,3481,7.1,26,26,120.12,37.9,267.8,30,2015
1.0,Ahmad Bradshaw,SO,QB,8,48,23,47.9,429,8.9,5,2,149.05,6.0,53.6,725,2015
2.0,Chris Carter,FR,QB,2,21,13,61.9,348,16.6,2,2,213.49,10.5,174.0,725,2015
3.0,A.J. Schurr,SR,QB,7,29,11,37.9,300,10.3,3,4,131.38,4.1,42.9,725,2015
4.0,Kelvin White,SR,TE,12,5,1,20.0,26,5.2,0,0,63.68,0.4,2.2,725,2015
5.0,Joe Walker,JR,RB,10,1,1,100.0,25,25.0,0,0,310.0,0.1,2.5,725,2015
6.0,Luke Langdon,FR,QB,2,1,0,0.0,0,0.0,0,0,0.0,0.5,0.0,725,2015
7.0,Alex Tardieu,SR,P,12,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,725,2015
8.0,DeAndre Bell,SR,WR,12,2,0,0.0,0,0.0,0,1,-100.0,0.2,0.0,725,2015
,Total,,,12,108,49,45.4,1128,10.4,10,9,146.98,9.0,94.0,725,2015
,Opponents,,,12,306,186,60.8,2525,8.3,13,6,140.2,25.5,210.4,725,2015
1.0,Sean White,FR,QB,7,143,83,58.0,1167,8.2,1,4,123.31,20.4,166.7,37,2015
2.0,Jeremy Johnson,JR,QB,11,157,95,60.5,1054,6.7,10,7,129.0,14.3,95.8,37,2015
3.0,Kevin Phillips,JR,P,13,1,1,100.0,37,37.0,0,0,410.8,0.1,2.8,37,2015
4.0,Team,,,7,3,0,0.0,0,0.0,0,0,0.0,0.4,0.0,37,2015
5.0,Jason Smith,SO,WR,13,2,0,0.0,0,0.0,0,1,-100.0,0.2,0.0,37,2015
,Total,,,13,306,179,58.5,2258,7.4,11,12,124.5,23.5,173.7,37,2015
,Opponents,,,13,458,278,60.7,2894,6.3,13,14,117.04,35.2,222.6,37,2015
1.0,Tanner Mangum,FR,QB,13,446,267,59.9,3377,7.6,23,10,136.01,34.3,259.8,77,2015
2.0,Taysom Hill,SR,QB,1,34,21,61.8,268,7.9,1,1,131.81,34.0,268.0,77,2015
3.0,Beau Hoge,FR,QB,4,17,10,58.8,137,8.1,1,1,134.17,4.3,34.3,77,2015
4.0,Koy Detmer Jr.,FR,QB,1,3,3,100.0,57,19.0,0,0,259.6,3.0,57.0,77,2015
5.0,Remington Peck,SR,DL,13,1,1,100.0,15,15.0,1,0,556.0,0.1,1.2,77,2015
6.0,Team,,,8,2,0,0.0,0,0.0,0,0,0.0,0.3,0.0,77,2015
7.0,Mitchell Juergens,JR,WR,13,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,77,2015
,Total,,,13,504,302,59.9,3854,7.6,26,12,136.41,38.8,296.5,77,2015
,Opponents,,,13,407,226,55.5,2624,6.4,12,15,112.04,31.3,201.8,77,2015
1.0,Riley Neal,FR,QB,11,391,228,58.3,2276,5.8,16,6,117.64,35.5,206.9,47,2015
2.0,Jack Milas,SO,QB,12,67,35,52.2,343,5.1,1,3,91.21,5.6,28.6,47,2015
3.0,Team,,,5,1,0,0.0,0,0.0,0,0,0.0,0.2,0.0,47,2015
,Total,,,12,459,263,57.3,2619,5.7,17,9,113.53,38.3,218.3,47,2015
,Opponents,,,12,408,289,70.8,3510,8.6,26,7,160.7,34.0,292.5,47,2015
1.0,Seth Russell,JR,QB,7,200,119,59.5,2104,10.5,29,6,189.72,28.6,300.6,51,2015
2.0,Jarrett Stidham,FR,QB,10,109,75,68.8,1265,11.6,12,2,198.96,10.9,126.5,51,2015
3.0,Chris Johnson,SO,QB,9,50,22,44.0,302,6.0,3,3,102.54,5.6,33.6,51,2015
4.0,Lynx Hawthorne,JR,WR,13,23,11,47.8,66,2.9,0,2,54.55,1.8,5.1,51,2015
5.0,Johnny Jefferson,SO,RB,11,4,1,25.0,24,6.0,0,0,75.4,0.4,2.2,51,2015
6.0,Devin Chafin,JR,RB,10,2,1,50.0,3,1.5,0,0,62.6,0.2,0.3,51,2015
7.0,Team,,,7,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,51,2015
,Total,,,13,389,229,58.9,3764,9.7,44,13,170.8,29.9,289.5,51,2015
,Opponents,,,13,442,255,57.7,3035,6.9,30,14,131.44,34.0,233.5,51,2015
1.0,Brett Rypien,FR,QB,11,428,272,63.6,3350,7.8,20,8,140.98,38.9,304.5,66,2015
2.0,Ryan Finley,SO,QB,3,70,46,65.7,485,6.9,1,4,117.2,23.3,161.7,66,2015
3.0,Thomas Stuart,SO,QB,9,18,12,66.7,114,6.3,1,0,138.2,2.0,12.7,66,2015
4.0,Shane Williams-Rhodes,SR,WR,11,2,1,50.0,53,26.5,1,0,437.6,0.2,4.8,66,2015
5.0,Thomas Sperbeck,JR,WR,13,4,2,50.0,27,6.8,1,0,189.2,0.3,2.1,66,2015
6.0,Team,,,8,2,0,0.0,0,0.0,0,0,0.0,0.3,0.0,66,2015
,Total,,,13,524,333,63.5,4029,7.7,24,12,138.67,40.3,309.9,66,2015
,Opponents,,,13,411,220,53.5,2731,6.6,14,22,109.88,31.6,210.1,66,2015
1.0,John Fadule,FR,QB,3,73,38,52.1,464,6.4,1,4,99.01,24.3,154.7,67,2015
2.0,Troy Flutie,FR,QB,8,49,24,49.0,382,7.8,3,1,130.59,6.1,47.8,67,2015
3.0,Jeff Smith,FR,QB,9,82,27,32.9,253,3.1,2,3,59.57,9.1,28.1,67,2015
4.0,Darius Wade,SO,QB,3,42,21,50.0,232,5.5,2,1,107.35,14.0,77.3,67,2015
5.0,Team,,,5,2,0,0.0,0,0.0,0,0,0.0,0.4,0.0,67,2015
,Total,,,12,248,110,44.4,1331,5.4,8,9,92.83,20.7,110.9,67,2015
,Opponents,,,12,333,172,51.7,2054,6.2,9,13,104.57,27.8,171.2,67,2015
1.0,Matt Johnson,SR,QB,14,569,383,67.3,4946,8.7,46,8,164.19,40.6,353.3,71,2015
2.0,James Knapke,JR,QB,13,20,14,70.0,173,8.7,1,0,159.16,1.5,13.3,71,2015
3.0,Ryan Burbrink,SR,WR,13,3,1,33.3,16,5.3,0,0,78.13,0.2,1.2,71,2015
4.0,Gehrig Dieter,JR,WR,14,2,0,0.0,0,0.0,0,0,0.0,0.1,0.0,71,2015
,Total,,,14,594,398,67.0,5135,8.6,47,8,163.04,42.4,366.8,71,2015
,Opponents,,,14,492,290,58.9,3296,6.7,19,20,119.82,35.1,235.4,71,2015
1.0,Joe Licata,SR,QB,12,449,280,62.4,2969,6.6,16,15,122.98,37.4,247.4,86,2015
2.0,Tony Daniel,SR,QB,4,5,3,60.0,25,5.0,0,1,62.0,1.3,6.3,86,2015
3.0,Chris Merchant,FR,QB,1,1,0,0.0,0,0.0,0,0,0.0,1.0,0.0,86,2015
,Total,,,12,455,283,62.2,2994,6.6,16,16,122.04,37.9,249.5,86,2015
,Opponents,,,12,385,217,56.4,2728,7.1,18,13,124.56,32.1,227.3,86,2015
1.0,Jared Goff,JR,QB,13,529,341,64.5,4719,8.9,43,13,161.32,40.7,363.0,107,2015
2.0,Chase Forrest,FR,QB,3,18,10,55.6,162,9.0,1,1,138.38,6.0,54.0,107,2015
