Rank|Name|Yr|Pos|G|Att|Comp|Pct|Yards|Yards/Att|Td|Int|Rating|Att/G|Yards/G|TeamID|Year
1.0|Arion Worthman|JR|QB|7|72|36|50.0|766|10.6|8|2|170.48|10.3|109.4|721|2017
2.0|Tyler Williams|SR|WR|4|1|1|100.0|31|31.0|0|0|360.4|0.3|7.8|721|2017
3.0|Geraud Sanders|SO|WR|7|1|1|100.0|24|24.0|0|0|301.6|0.1|3.4|721|2017
4.0|Nate Romine|SR|QB|3|5|2|40.0|18|3.6|0|1|30.24|1.7|6.0|721|2017
|Total|||7|79|40|50.6|839|10.6|8|3|165.67|11.3|119.9|721|2017
|Opponents|||7|141|72|51.1|1033|7.3|8|2|128.48|20.1|147.6|721|2017
1.0|Thomas Woodson|SR|QB|8|235|133|56.6|1456|6.2|11|7|118.14|29.4|182.0|5|2017
2.0|Kato Nelson|FR|QB|5|11|6|54.5|123|11.2|0|1|130.3|2.2|24.6|5|2017
3.0|Robbie Kelley|JR|QB|4|11|6|54.5|111|10.1|1|0|169.31|2.8|27.8|5|2017
4.0|Nick Johns|SO|QB|7|2|1|50.0|4|2.0|0|0|66.8|0.3|0.6|5|2017
|Total|||8|259|146|56.4|1694|6.5|12|8|120.42|32.4|211.8|5|2017
|Opponents|||8|273|171|62.6|2001|7.3|13|10|132.59|34.1|250.1|5|2017
1.0|Jalen Hurts|SO|QB|8|151|95|62.9|1223|8.1|9|1|149.29|18.9|152.9|8|2017
2.0|Tua Tagovailoa|FR|QB|7|42|28|66.7|385|9.2|5|1|178.2|6.0|55.0|8|2017
|Total|||8|193|123|63.7|1608|8.3|14|2|155.59|24.1|201.0|8|2017
|Opponents|||8|251|138|55.0|1357|5.4|6|11|99.52|31.4|169.6|8|2017
1.0|Taylor Lamb|SR|QB|7|206|125|60.7|1624|7.9|13|3|144.82|29.4|232.0|27|2017
2.0|Zac Thomas|FR|QB|2|10|6|60.0|33|3.3|0|0|87.72|5.0|16.5|27|2017
3.0|Malik Williams|FR|WR|7|1|1|100.0|27|27.0|1|0|656.8|0.1|3.9|27|2017
4.0|Jacob Huesman|FR|QB|1|2|1|50.0|5|2.5|0|0|71.0|2.0|5.0|27|2017
5.0|Team|||5|2|0|0.0|0|0.0|0|0|0.0|0.4|0.0|27|2017
|Total|||7|221|133|60.2|1689|7.6|14|3|142.58|31.6|241.3|27|2017
|Opponents|||7|207|112|54.1|1508|7.3|10|9|122.54|29.6|215.4|27|2017
1.0|Brandon Dawkins|JR|QB|5|106|66|62.3|670|6.3|5|3|125.27|21.2|134.0|29|2017
2.0|Khalil Tate|SO|QB|5|50|36|72.0|509|10.2|4|2|175.91|10.0|101.8|29|2017
3.0|Rhett Rodriguez|FR|QB|2|1|1|100.0|10|10.0|0|0|184.0|0.5|5.0|29|2017
4.0|Donavan Tate|FR|QB|2|1|1|100.0|10|10.0|0|0|184.0|0.5|5.0|29|2017
|Total|||7|158|104|65.8|1199|7.6|9|5|142.04|22.6|171.3|29|2017
|Opponents|||7|264|155|58.7|1803|6.8|8|10|118.5|37.7|257.6|29|2017
1.0|Manny Wilkins|JR|QB|7|234|156|66.7|1837|7.9|8|3|141.33|33.4|262.4|28|2017
2.0|Blake Barnett|SO|QB|2|3|2|66.7|21|7.0|0|0|125.47|1.5|10.5|28|2017
3.0|N'Keal Harry|SO|WR|7|1|1|100.0|14|14.0|1|0|547.6|0.1|2.0|28|2017
|Total|||7|238|159|66.8|1872|7.9|9|3|142.84|34.0|267.4|28|2017
|Opponents|||7|250|156|62.4|1762|7.0|14|6|135.28|35.7|251.7|28|2017
1.0|Austin Allen|SR|QB|5|117|66|56.4|850|7.3|8|4|133.17|23.4|170.0|31|2017
2.0|Cole Kelley|FR|QB|6|86|49|57.0|549|6.4|4|2|121.31|14.3|91.5|31|2017
3.0|Blake Johnson|SO|P|7|1|0|0.0|0|0.0|0|0|0.0|0.1|0.0|31|2017
|Total|||7|204|115|56.4|1399|6.9|12|6|127.51|29.1|199.9|31|2017
|Opponents|||7|207|122|58.9|1492|7.2|11|5|132.2|29.6|213.1|31|2017
1.0|Justice Hansen|JR|QB|6|225|145|64.4|1862|8.3|21|6|159.43|37.5|310.3|30|2017
2.0|Logan Bonner|FR|QB|4|21|9|42.9|70|3.3|1|1|77.05|5.3|17.5|30|2017
3.0|Chauncey Mason|SO|RB|4|1|1|100.0|34|34.0|0|0|385.6|0.3|8.5|30|2017
4.0|Team|||3|1|0|0.0|0|0.0|0|0|0.0|0.3|0.0|30|2017
|Total|||6|248|155|62.5|1966|7.9|22|7|152.71|41.3|327.7|30|2017
|Opponents|||6|173|88|50.9|1298|7.5|6|6|118.4|28.8|216.3|30|2017
1.0|Ahmad Bradshaw|SR|QB|8|35|10|28.6|190|5.4|1|2|72.17|4.4|23.8|725|2017
2.0|Kelvin Hopkins Jr.|SO|QB|7|18|6|33.3|76|4.2|1|1|76.01|2.6|10.9|725|2017
3.0|Zach Potter|SO|P|3|1|0|0.0|0|0.0|0|0|0.0|0.3|0.0|725|2017
4.0|Luke Langdon|JR|QB|5|2|0|0.0|0|0.0|0|2|-200.0|0.4|0.0|725|2017
|Total|||8|56|16|28.6|266|4.8|2|5|62.39|7.0|33.3|725|2017
