Rank|Name|Yr|Pos|G|Rec|Yards|Avg|TD|Rec/G|Yards/G|TeamID|Year
1.0|Marcus Bennett|JR|WR|7|11|262|23.82|2|1.6|37.4|721|2017
2.0|Ronald Cleveland|JR|WR|7|7|201|28.71|2|1.0|28.7|721|2017
3.0|Geraud Sanders|SO|WR|7|7|147|21.00|3|1.0|21.0|721|2017
4.0|Ryan Reffitt|SR|TE|7|5|95|19.00|1|0.7|13.6|721|2017
5.0|Tim McVey|SR|RB|7|4|84|21.00|0|0.6|12.0|721|2017
6.0|Arion Worthman|JR|QB|7|1|24|24.00|0|0.1|3.4|721|2017
7.0|Garrett Amy|JR|WR|4|1|10|10.00|0|0.3|2.5|721|2017
8.0|Adam Farah|SO|WR|1|1|8|8.00|0|1.0|8.0|721|2017
9.0|Andrew Smith|JR|WR|2|1|6|6.00|0|0.5|3.0|721|2017
10.0|Tyler Williams|SR|WR|4|1|2|2.00|0|0.3|0.5|721|2017
11.0|Malik Miller|JR|RB|4|1|0|0.00|0|0.3|0.0|721|2017
|Total|||7|40|839|20.98|8|5.7|119.9|721|2017
|Opponents|||7|72|1033|14.35|8|10.3|147.6|721|2017
1.0|Kwadarrius Smith|JR|WR|8|22|411|18.68|4|2.8|51.4|5|2017
2.0|A.J. Coney|SR|WR|8|28|345|12.32|2|3.5|43.1|5|2017
3.0|Tra'Von Chapman|SR|WR|8|32|278|8.69|1|4.0|34.8|5|2017
4.0|Austin Wolf|SR|WR|6|17|240|14.12|2|2.8|40.0|5|2017
5.0|Fransohn Bickley|SR|WR|5|9|111|12.33|0|1.8|22.2|5|2017
6.0|Kobie Booker|FR|TE|6|5|87|17.40|2|0.8|14.5|5|2017
7.0|Anthony Young|SR|WR|8|7|60|8.57|0|0.9|7.5|5|2017
8.0|Kevin Gladney|SR|WR|6|5|40|8.00|0|0.8|6.7|5|2017
9.0|Nate Stewart|FR|WR|4|2|36|18.00|0|0.5|9.0|5|2017
10.0|Dustin Burkhart|FR|WR|7|1|25|25.00|0|0.1|3.6|5|2017
11.0|Manny Morgan|SR|RB|8|5|22|4.40|0|0.6|2.8|5|2017
12.0|Warren Ball|SR|RB|5|7|18|2.57|1|1.4|3.6|5|2017
13.0|Brandon Junk|SO|TE|7|1|10|10.00|0|0.1|1.4|5|2017
14.0|Van Edwards, Jr.|JR|RB|8|4|9|2.25|0|0.5|1.1|5|2017
15.0|Newman Williams|JR|TE|4|1|2|2.00|0|0.3|0.5|5|2017
|Total|||8|146|1694|11.60|12|18.3|211.8|5|2017
|Opponents|||8|171|2001|11.70|13|21.4|250.1|5|2017
1.0|Calvin Ridley|JR|WR|8|41|523|12.76|2|5.1|65.4|8|2017
2.0|Jerry Jeudy|FR|WR|8|12|208|17.33|1|1.5|26.0|8|2017
3.0|Cam Sims|SR|WR|8|9|140|15.56|0|1.1|17.5|8|2017
4.0|Henry Ruggs III|FR|WR|8|5|112|22.40|5|0.6|14.0|8|2017
5.0|Josh Jacobs|SO|RB|6|6|96|16.00|1|1.0|16.0|8|2017
6.0|Robert Foster|SR|WR|8|7|96|13.71|1|0.9|12.0|8|2017
7.0|Bo Scarbrough|JR|RB|8|11|86|7.82|0|1.4|10.8|8|2017
8.0|Irv Smith Jr.|SO|TE|8|9|86|9.56|1|1.1|10.8|8|2017
9.0|DeVonta Smith|FR|WR|8|3|67|22.33|1|0.4|8.4|8|2017
10.0|Hale Hentges|JR|TE|8|4|60|15.00|2|0.5|7.5|8|2017
11.0|Damien Harris|JR|RB|8|6|46|7.67|0|0.8|5.8|8|2017
12.0|Xavian Marks|JR|WR|5|1|24|24.00|0|0.2|4.8|8|2017
13.0|Najee Harris|FR|RB|8|5|23|4.60|0|0.6|2.9|8|2017
14.0|Derek Kief|JR|WR|8|1|21|21.00|0|0.1|2.6|8|2017
15.0|Miller Forristall|SO|TE|3|1|12|12.00|0|0.3|4.0|8|2017
16.0|Major Tennison|FR|TE|4|1|9|9.00|0|0.3|2.3|8|2017
17.0|Jalen Hurts|SO|QB|8|1|-1|-1.00|0|0.1|-0.1|8|2017
|Total|||8|123|1608|13.07|14|15.4|201.0|8|2017
|Opponents|||8|138|1357|9.83|6|17.3|169.6|8|2017
1.0|Thomas Hennigan|FR|WR|7|32|329|10.28|2|4.6|47.0|27|2017
2.0|Ike Lewis|SR|WR|7|23|320|13.91|2|3.3|45.7|27|2017
3.0|Jalen Virgil|FR|WR|7|14|308|22.00|3|2.0|44.0|27|2017
4.0|Malik Williams|FR|WR|7|15|145|9.67|0|2.1|20.7|27|2017
5.0|T.J. Watkins|SR|WR|5|9|129|14.33|1|1.8|25.8|27|2017
6.0|Collin Reed|SO|TE|7|6|121|20.17|3|0.9|17.3|27|2017
7.0|Zy Letman|SR|WR|5|8|106|13.25|1|1.6|21.2|27|2017
8.0|Levi Duffield|SR|TE|7|4|88|22.00|2|0.6|12.6|27|2017
9.0|Jalin Moore|JR|RB|7|8|70|8.75|0|1.1|10.0|27|2017
10.0|Dante Jones|SR|WR|4|8|43|5.38|0|2.0|10.8|27|2017
11.0|Marcus Williams Jr.|FR|RB|3|3|24|8.00|0|1.0|8.0|27|2017
12.0|Terrence Upshaw|SR|RB|6|2|4|2.00|0|0.3|0.7|27|2017
13.0|A'Darius Purifoy|FR|WR|2|1|2|2.00|0|0.5|1.0|27|2017
|Total|||7|133|1689|12.70|14|19.0|241.3|27|2017
|Opponents|||7|112|1508|13.46|10|16.0|215.4|27|2017
1.0|Shun Brown|JR|WR|7|23|336|14.61|3|3.3|48.0|29|2017
2.0|Tony Ellison|JR|WR|7|20|329|16.45|2|2.9|47.0|29|2017
3.0|Bryce Wolma|FR|TE|7|22|192|8.73|2|3.1|27.4|29|2017
4.0|Tyrell Johnson|SR|WR|7|11|142|12.91|0|1.6|20.3|29|2017
