Rank,Name,Yr,Pos,G,Att,Comp,Pct,Yards,Yards/Att,Td,Int,Rating,Att/G,Yards/G,TeamID,Year
1,Tim Jefferson,SO,QB,10,93,53,57.0,848,9.1,5,2,147.02,9.3,84.8,721
2,Connor Dietz,SO,QB,7,38,18,47.4,197,5.2,1,0,99.61,5.4,28.1,721
3,Ben Cochran,JR,QB,6,19,5,26.3,88,4.6,1,1,72.07,3.2,14.7,721
4,Jonathan Warzeka,SO,WR,13,1,1,100.0,16,16.0,1,0,564.40,0.1,1.2,721
5,Asher Clark,SO,QB,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,721
6,Josh Cousins,SR,WR,13,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,721
,Total,,,13,153,77,50.3,1149,7.5,8,3,126.75,11.8,88.4,721
,Opponents,,,13,328,189,57.6,2006,6.1,10,20,106.85,25.2,154.3,721
1,Patrick Nicely,FR,QB,8,222,120,54.1,1349,6.1,6,6,108.61,27.8,168.6,5
2,Matt Rodgers,SO,QB,6,69,39,56.5,405,5.9,1,6,93.22,11.5,67.5,5
3,Chris Jacquemain,SR,QB,4,44,26,59.1,320,7.3,4,1,145.63,11.0,80.0,5
4,Alex Allen,SR,RB,12,1,1,100.0,80,80.0,1,0,1102.00,0.1,6.7,5
5,Jared Wackerly,FR,QB,4,5,4,80.0,36,7.2,0,0,140.48,1.3,9.0,5
6,Andre Jones,SR,WR,12,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,5
,Total,,,12,342,190,55.6,2190,6.4,12,13,113.33,28.5,182.5,5
,Opponents,,,12,352,214,60.8,2349,6.7,19,13,127.27,29.3,195.8,5
1,Greg McElroy,JR,QB,14,325,198,60.9,2508,7.7,17,4,140.54,23.2,179.1,8
2,Star Jackson,FR,QB,4,18,13,72.2,116,6.4,0,0,126.35,4.5,29.0,8
3,P.J. Fitzgerald,SR,P,14,2,1,50.0,7,3.5,0,1,-20.60,0.1,0.5,8
4,Mark Ingram,SO,RB,14,1,0,0.0,0,0.0,0,0,0.00,0.1,0.0,8
,Total,,,14,346,212,61.3,2631,7.6,17,5,138.46,24.7,187.9,8
,Opponents,,,14,449,210,46.8,2324,5.2,11,24,87.65,32.1,166.0,8
