721,Air Force,MWC
5,Akron,MAC
8,Alabama,SEC
27,Appalachian State,SBC
29,Arizona,PAC 12
28,Arizona State,PAC 12
31,Arkansas,SEC
30,Arkansas State,SBC
725,Army,Indie
37,Auburn,SEC
77,BYU,Indie
47,Ball State,MAC
51,Baylor,Big 12
66,Boise State,MWC
67,Boston College,ACC
71,Bowling Green,MAC
86,Buffalo,MAC
107,California,PAC 12
129,Central Michigan,MAC
458,Charlotte,Conf USA
140,Cincinnati,AAC
147,Clemson,ACC
157,Colorado,PAC 12
156,Colorado State,MWC
164,Connecticut,AAC
193,Duke,ACC
196,East Carolina,AAC
204,Eastern Michigan,MAC
235,Florida,SEC
229,Florida Atlantic,Conf USA
231,Florida International,Conf USA
234,Florida State,ACC
96,Fresno State,MWC
257,Georgia,SEC
253,Georgia Southern,SBC
254,Georgia State,SBC
255,Georgia Tech,ACC
277,Hawaii,MWC
288,Houston,AAC
295,Idaho,SBC
301,Illinois,Big 10
306,Indiana,Big 10
312,Iowa,Big 10
311,Iowa State,Big 12
328,Kansas,Big 12
327,Kansas State,Big 12
331,Kent State,MAC
334,Kentucky,SEC
365,LSU,SEC
366,Louisiana Tech,Conf USA
671,Louisiana-Lafayette,SBC
498,Louisiana-Monroe,SBC
367,Louisville,ACC
388,Marshall,Conf USA
392,Maryland,Big 10
400,Massachusetts,MAC
404,Memphis,AAC
415,Miami-Florida,ACC
414,Miami-Ohio,MAC
418,Michigan,Big 10
416,Michigan State,Big 10
419,Middle Tennessee,Conf USA
428,Minnesota,Big 10
433,Mississippi,SEC
430,Mississippi State,SEC
434,Missouri,SEC
726,Navy,AAC
463,Nebraska,Big 10
466,Nevada,MWC
473,New Mexico,MWC
472,New Mexico State,SBC
457,North Carolina,ACC
490,North Carolina State,ACC
497,North Texas,Conf USA
503,Northern Illinois,MAC
509,Northwestern,Big 10
513,Notre Dame,Indie
519,Ohio,MAC
518,Ohio State,Big 10
522,Oklahoma,Big 12
521,Oklahoma State,Big 12
523,Old Dominion,Conf USA
529,Oregon,PAC 12
528,Oregon State,PAC 12
539,Penn State,Big 10
545,Pittsburgh,ACC
559,Purdue,Big 10
574,Rice,Conf USA
587,Rutgers,Big 10
663,SMU,AAC
626,San Diego State,MWC
630,San Jose State,MWC
646,South Alabama,SBC
648,South Carolina,SEC
651,South Florida,AAC
664,Southern Mississippi,Conf USA
674,Stanford,PAC 12
688,Syracuse,ACC
698,TCU,Big 12
690,Temple,AAC
694,Tennessee,SEC
703,Texas,Big 12
697,Texas A&M,SEC
670,Texas State,SBC
700,Texas Tech,Big 12
709,Toledo,MAC
716,Troy,SBC
718,Tulane,AAC
719,Tulsa,AAC
128,UCF,AAC
110,UCLA,PAC 12
465,UNLV,MWC
657,USC,PAC 12
704,UTEP,Conf USA
706,UTSA,Conf USA
732,Utah,PAC 12
731,Utah State,MWC
736,Vanderbilt,SEC
746,Virginia,ACC
742,Virginia Tech,ACC
749,Wake Forest,ACC
756,Washington,PAC 12
754,Washington State,PAC 12
768,West Virginia,Big 12
772,Western Kentucky,Conf USA
774,Western Michigan,MAC
796,Wisconsin,Big 10
811,Wyoming,MWC
